t (s)	y (m)
18,66	10,330088
18,68	10,333152
18,7	10,3362
18,72	10,339232
18,74	10,342248
18,76	10,345248
18,78	10,348232
18,8	10,3512
18,82	10,354152
18,84	10,357088
18,86	10,360008
18,88	10,362912
18,9	10,3658
18,92	10,368672
18,94	10,371528
18,96	10,374368
18,98	10,377192
19	10,38
19,02	10,382792
19,04	10,385568
19,06	10,388328
19,08	10,391072
19,1	10,3938
19,12	10,396512
19,14	10,399208
19,16	10,401888
19,18	10,404552
19,2	10,4072
19,22	10,409832
19,24	10,412448
19,26	10,415048
19,28	10,417632
19,3	10,4202
19,32	10,422752
19,34	10,425288
19,36	10,427808
19,38	10,430312
19,4	10,4328
19,42	10,435272
19,44	10,437728
19,46	10,440168
19,48	10,442592
19,5	10,445
19,52	10,447392
19,54	10,449768
19,56	10,452128
19,58	10,454472
19,6	10,4568
19,62	10,459112
19,64	10,461408
19,66	10,463688
19,68	10,465952
19,7	10,4682
19,72	10,470432
19,74	10,472648
19,76	10,474848
19,78	10,477032
19,8	10,4792
19,82	10,481352
19,84	10,483488
19,86	10,485608
19,88	10,487712
19,9	10,4898
19,92	10,491872
19,94	10,493928
19,96	10,495968
19,98	10,497992
20	10,5
